year,consumption,investment,government_spending,exports,imports
1994,268.4598,168.3729,75.2915,45.1642,35.6134
1995,274.0566,171.3741,78.5498,45.9878,39.5053
1996,279.8980,183.1488,81.1587,49.8915,47.8691
1997,284.8137,180.9298,83.0206,56.4401,51.0923
1998,283.2382,166.8417,83.8653,55.6553,46.2965
1999,284.6041,156.2308,85.4278,51.7801,43.9358
2000,286.3948,161.1262,88.5671,56.0234,48.7170
2001,288.1709,156.4773,91.6356,53.5737,50.4157
2002,287.6658,144.8054,93.2912,56.9345,50.3064
2003,286.4118,142.0517,93.3361,60.0771,51.6650
2004,288.4140,142.5495,93.5703,67.6890,57.5887
2005,290.6793,145.1194,94.1288,73.5646,66.1069
2006,293.5085,146.4130,93.7061,83.7835,76.8450
2007,294.7452,145.9643,94.3728,93.2256,83.7369
2008,293.4754,143.7814,94.3044,90.9642,89.1701
2009,283.8973,118.1470,95.1007,61.4638,59.2470
2010,286.4410,120.2511,96.6855,75.4126,68.6510
2011,283.2214,122.5370,98.6023,73.4902,76.7091
2012,287.6111,126.2773,99.7085,72.1371,80.3570
2013,295.2495,130.5583,101.0122,80.2894,92.5561
2014,299.1342,139.1740,103.3696,90.3664,103.8285
2015,300.9467,145.7360,105.1666,93.8128,96.7955
2016,298.9800,145.8869,106.7197,87.4120,83.0280
2017,303.0999,150.5170,107.3042,97.2898,93.0921
2018,305.8630,154.4475,108.7364,101.9419,101.8354
2019,306.0087,156.2511,111.1948,97.4286,99.0452
2020,293.3145,148.9711,113.2396,83.8242,85.2749
2021,301.9483,156.7285,117.7680,100.1565,103.0325
2022,319.0267,165.5899,121.1350,120.7695,141.6207
2023,330.1796,171.1594,123.7896,129.7324,138.8278
2024,336.5809,175.5485,127.7609,141.1374,146.2766
2025,350.7818,184.3019,131.6659,145.3062,148.6205
