date,labor_force,employed,unemployed,additional_work_wanted_employed,potential_labor_force
2018-01,6762,6578,184,177,37
2018-04,6862,6676,186,187,37
2018-07,6862,6677,186,183,40
2018-10,6868,6688,181,183,33
2019-01,6834,6648,186,190,41
2019-04,6909,6719,190,180,40
2019-07,6920,6741,179,173,38
2019-10,6924,6753,171,184,39
2020-01,6866,6684,183,212,40
2020-04,6855,6641,214,267,52
2020-07,6888,6663,224,219,43
2020-10,6898,6679,219,215,40
2021-01,6849,6634,214,252,44
2021-04,6895,6662,233,233,42
2021-07,6895,6685,211,222,36
2021-10,6840,6646,194,195,34
2022-01,6855,6653,202,217,39
2022-04,6935,6729,207,194,33
2022-07,6948,6748,200,174,36
2022-10,6906,6723,183,196,32
2023-01,6872,6676,196,187,34
2023-04,6956,6747,209,181,40
2023-07,6972,6768,203,193,39
2023-10,6944,6759,184,197,33
2024-01,6907,6714,193,176,33
2024-04,6981,6771,211,195,37
2024-07,6996,6800,196,185,31
2024-10,6984,6804,179,206,31
2025-01,6952,6764,188,204,35
2025-04,7031,6827,204,192,38
2025-07,7037,6841,196,197,33
2025-10,7038,6848,190,201,32
2026-01,6971,6768,203,206,36
