item,price_base,quantity_base,price_current,quantity_current
食パン,427.0,22.679156908665107,529.0,20.69187145557656
中華麺,255.0,17.250980392156862,505.0,9.760396039603961
小麦粉,192.0,3.3020833333333335,343.0,1.9620991253644315
もち,1061.0,2.2271442035815268,824.0,2.3737864077669903
まぐろ,418.0,20.22248803827751,466.0,12.03648068669528
あじ,124.0,18.45967741935484,135.5,7.158671586715867
いわし,89.0,12.797752808988765,98.5,4.345177664974619
さけ,196.0,22.882653061224488,504.0,10.505952380952381
さば,104.0,14.509615384615385,149.0,5.76510067114094
さんま,109.0,14.917431192660551,195.0,5.112820512820512
たい,245.0,7.43265306122449,677.0,1.534711964549483
ぶり,290.0,12.786206896551723,353.0,7.189801699716714
いか,91.0,41.26373626373626,219.0,7.684931506849315
たこ,217.0,9.142857142857142,476.0,2.292016806722689
えび,307.0,16.54397394136808,357.0,8.207282913165265
あさり,96.0,17.302083333333332,168.0,2.2797619047619047
かき(貝),264.0,5.833333333333333,435.0,1.6735632183908047
ほたて貝,169.0,9.159763313609467,419.0,1.6801909307875895
塩さけ,243.0,11.03292181069959,298.0,8.939597315436242
たらこ,519.0,6.861271676300578,511.0,3.9667318982387476
しらす干し,383.0,4.449086161879896,689.0,2.2568940493468794
干しあじ,125.0,13.208,178.0,2.938202247191011
鶏肉,111.0,96.15315315315316,152.0,132.77631578947367
ハム,288.0,24.125,230.0,20.339130434782607
ソーセージ,182.0,37.72527472527472,192.0,42.359375
ベーコン,232.0,9.702586206896552,263.0,9.513307984790874
バター,320.0,2.25625,571.0,2.5814360770577935
キャベツ,144.0,14.95138888888889,240.0,13.791666666666666
ほうれんそう,691.0,3.712011577424023,1162.0,1.7048192771084338
はくさい,146.0,7.815068493150685,288.0,5.635416666666667
ねぎ,541.0,5.390018484288355,920.0,3.9597826086956522
レタス,462.0,4.861471861471862,532.0,5.080827067669173
ブロッコリー,553.0,2.636528028933092,772.0,3.6826424870466323
さつまいも,484.0,2.5392561983471076,668.0,1.9895209580838322
じゃがいも,267.0,10.794007490636703,521.0,6.061420345489443
さといも,504.0,2.386904761904762,1049.0,0.7445185891325071
だいこん,144.0,14.777777777777779,234.0,7.85042735042735
にんじん,287.0,8.247386759581882,540.0,5.514814814814815
ごぼう,540.0,2.2351851851851854,1131.0,0.8956675508399646
たまねぎ,184.0,14.03804347826087,390.0,11.602564102564102
れんこん,896.0,0.8839285714285714,1269.0,0.797478329393223
かぼちゃ,272.0,4.863970588235294,597.0,2.9983249581239533
きゅうり,507.0,7.633136094674557,743.0,4.815612382234185
なす,531.0,4.453860640301318,791.0,2.820480404551201
トマト,551.0,11.37568058076225,892.0,9.335201793721973
干ししいたけ,965.0,0.7077720207253886,1954.0,0.19242579324462641
わかめ,104.0,14.134615384615385,305.0,5.377049180327869
こんぶ,531.0,2.4858757062146895,899.0,0.8264738598442715
みかん,480.0,13.01875,925.0,4.970810810810811
オレンジ,383.5,1.694915254237288,707.0,0.925035360678925
梨,519.0,5.633911368015414,1095.0,1.7780821917808218
柿,485.0,2.484536082474227,702.0,1.4957264957264957
桃,852.0,1.8556338028169015,1603.0,0.6631316281971303
すいか,308.0,6.311688311688312,586.0,2.667235494880546
メロン,559.5,4.246648793565684,970.0,0.8948453608247423
バナナ,226.0,17.101769911504423,365.0,17.528767123287672
食用油,439.0,7.633257403189066,383.0,12.326370757180158
マーガリン,264.0,3.647727272727273,968.0,0.6776859504132231
食塩,112.0,5.75,128.0,3.5390625
しょう油,297.0,8.781144781144782,312.0,5.8076923076923075
みそ,382.0,8.366492146596858,400.0,5.8625
砂糖,209.0,7.626794258373206,279.0,4.265232974910394
酢,148.0,8.621621621621621,155.0,4.774193548387097
ソース,276.0,3.1557971014492754,293.0,2.8668941979522184
ケチャップ,284.0,2.232394366197183,273.0,3.0146520146520146
ジャム,217.0,6.23963133640553,271.0,5.25830258302583
カレールウ,249.0,7.3694779116465865,302.0,5.139072847682119
緑茶,578.0,11.799307958477508,515.0,6.122330097087379
紅茶,290.0,3.320689655172414,119.0,7.5210084033613445
民営家賃,4030.0,25.285359801488834,4139.0,19.920270596762503
灯油,926.0,16.049676025917925,2257.0,7.055383252104564
冷蔵庫,145660.0,0.04481669641631196,263316.0,0.02572574397302101
掃除機,31810.0,0.06095567431625275,66919.0,0.04551771544703298
食器戸棚,97870.0,0.010258506181669562,104043.0,0.0035466105360283727
ベッド,55650.0,0.02954177897574124,62900.0,0.025802861685214628
布団,7746.0,0.6236767363800672,8705.0,0.28822515795519815
シーツ,2100.0,0.49142857142857144,2407.0,0.24304113003739095
男性用上着,36690.0,0.06200599618424639,31167.0,0.05448070074116854
男性用コート,41650.0,0.04897959183673469,29329.0,0.02662893381976883
男性用学校制服,27760.0,0.05778097982708934,39533.0,0.026838337591379356
女性用コート,45210.0,0.10875912408759124,40532.5,0.03930179485597977
女性用学校制服,28000.0,0.06771428571428571,39000.0,0.028179487179487178
乳児服,4223.0,0.43144683874023204,3207.0,0.2550670408481447
男性用セーター,8560.0,0.31810747663551403,6124.0,0.19448073154800785
帽子,2037.0,0.9042709867452136,3068.0,0.5061929595827901
男性用靴下,789.0,2.8669201520912546,552.0,2.5543478260869565
女性用靴下,515.0,3.4854368932038833,410.0,4.46829268292683
男性用靴,11030.0,0.400271985494107,10750.0,0.34567441860465115
女性用靴,9802.0,0.8393185064272597,8923.0,0.5433150285778325
ガソリン,106.0,494.58490566037733,178.0,407.1573033707865
理髪料,3575.0,2.257062937062937,3785.0,1.3503302509907529
パーマネント代,6881.0,1.3790146780991135,9080.0,0.24570484581497798
カット代,3038.0,2.02567478604345,4425.0,1.6119774011299435
傘,2719.0,0.40382493563810223,1753.0,0.6925270964061608
通学用かばん,28530.0,0.035892043463021384,56319.0,0.0187503329249454
旅行用かばん,37170.0,0.023459779391982783,20978.0,0.045619220135379925
